# Atraxa, Praetors' Voice — selector greedy (prototipo Fase 3)
# Construido en 0.00s | mainboard: 99 cartas

## Resumen de cuotas
categoría      n  banda      estado
lands         36  [36-39]    in_range  (suelo Karsten: 34, objetivo: 36)
ramp          12  [ 9-12]    in_range
card_draw     12  [ 9-12]    in_range
removal        9  [ 8-11]    in_range
board_wipe     5  [ 3- 5]    in_range
wincons        2  [ 2- 4]    in_range
synergy       28  [ 0-28]    in_range

# Nota: una carta multicategoría cuenta en todas sus categorías,
# por eso la suma de conteos puede superar 99.

## Mainboard (99)

### lands (36)
1x Command Tower                              score 0.91  [lands]  tierra recomendada, score 0.91
1x Karn's Bastion                             score 0.83  [lands]  tierra recomendada, score 0.83
1x Exotic Orchard                             score 0.61  [lands]  tierra recomendada, score 0.61
1x Temple Garden                              score 0.47  [lands]  tierra recomendada, score 0.47
1x Overgrown Tomb                             score 0.46  [lands]  tierra recomendada, score 0.46
1x Godless Shrine                             score 0.46  [lands]  tierra recomendada, score 0.46
1x Hallowed Fountain                          score 0.44  [lands]  tierra recomendada, score 0.44
1x Breeding Pool                              score 0.42  [lands]  tierra recomendada, score 0.42
1x Sandsteppe Citadel                         score 0.41  [lands]  tierra recomendada, score 0.41
1x Watery Grave                               score 0.41  [lands]  tierra recomendada, score 0.41
1x Opulent Palace                             score 0.39  [lands]  tierra recomendada, score 0.39
1x Seaside Citadel                            score 0.36  [lands]  tierra recomendada, score 0.36
1x Path of Ancestry                           score 0.36  [lands]  tierra recomendada, score 0.36
1x Arcane Sanctum                             score 0.35  [lands]  tierra recomendada, score 0.35
1x Rejuvenating Springs                       score 0.27  [lands]  tierra recomendada, score 0.27
1x Evolving Wilds                             score 0.27  [lands]  tierra recomendada, score 0.27
1x Reflecting Pool                            score 0.25  [lands]  tierra recomendada, score 0.25
1x Undergrowth Stadium                        score 0.24  [lands]  tierra recomendada, score 0.24
1x Windswept Heath                            score 0.24  [lands]  tierra recomendada, score 0.24
1x Bountiful Promenade                        score 0.24  [lands]  tierra recomendada, score 0.24
1x Reliquary Tower                            score 0.23  [lands]  tierra recomendada, score 0.23
1x Misty Rainforest                           score 0.22  [lands]  tierra recomendada, score 0.22
1x Sea of Clouds                              score 0.22  [lands]  tierra recomendada, score 0.22
1x Verdant Catacombs                          score 0.22  [lands]  tierra recomendada, score 0.22
1x Terramorphic Expanse                       score 0.22  [lands]  tierra recomendada, score 0.22
1x Flooded Strand                             score 0.21  [lands]  tierra recomendada, score 0.21
1x Polluted Delta                             score 0.21  [lands]  tierra recomendada, score 0.21
1x Canopy Vista                               score 0.21  [lands]  tierra recomendada, score 0.21
1x Rogue's Passage                            score 0.21  [lands]  tierra recomendada, score 0.21
1x Marsh Flats                                score 0.21  [lands]  tierra recomendada, score 0.21
1x Morphic Pool                               score 0.20  [lands]  tierra recomendada, score 0.20
1x Inkmoth Nexus                              score 0.19  [lands]  tierra recomendada, score 0.19
1x Vault of Champions                         score 0.19  [lands]  tierra recomendada, score 0.19
1x The Seedcore                               score 0.18  [lands]  tierra recomendada, score 0.18
1x Hinterland Harbor                          score 0.16  [lands]  tierra recomendada, score 0.16
1x Yavimaya, Cradle of Growth                 score 0.16  [lands]  tierra recomendada, score 0.16

### ramp (10)
1x Sol Ring                                   score 0.83  [ramp]  ramp (cuota), score 0.83
1x Arcane Signet                              score 0.78  [ramp]  ramp (cuota), score 0.78
1x Vraska, Betrayal's Sting                   score 0.73  [card_draw/ramp]  ramp (cuota), score 0.73
1x Astral Cornucopia                          score 0.63  [ramp]  ramp (cuota), score 0.63
1x Chromatic Lantern                          score 0.55  [ramp]  ramp (cuota), score 0.55
1x Everflowing Chalice                        score 0.54  [ramp]  ramp (cuota), score 0.54
1x Farseek                                    score 0.52  [ramp]  ramp (cuota), score 0.52
1x Cultivate                                  score 0.47  [ramp]  ramp (cuota), score 0.47
1x Glistening Sphere                          score 0.39  [ramp]  relleno por score 0.39
1x Nature's Lore                              score 0.30  [ramp]  relleno por score 0.30

### card_draw (10)
1x Ezuri, Stalker of Spheres                  score 0.75  [card_draw]  card_draw (cuota), score 0.75
1x Tezzeret's Gambit                          score 0.68  [card_draw]  card_draw (cuota), score 0.68
1x Prologue to Phyresis                       score 0.56  [card_draw]  card_draw (cuota), score 0.56
1x Infectious Inquiry                         score 0.52  [card_draw]  card_draw (cuota), score 0.52
1x Tamiyo, Field Researcher                   score 0.39  [card_draw]  card_draw (cuota), score 0.39
1x Contaminant Grafter                        score 0.37  [card_draw/ramp]  card_draw (cuota), score 0.37
1x Norn's Decree                              score 0.36  [card_draw]  card_draw (cuota), score 0.36
1x Contentious Plan                           score 0.32  [card_draw]  relleno por score 0.32
1x Phyrexian Arena                            score 0.24  [card_draw]  relleno por score 0.24
1x Fathom Mage                                score 0.20  [card_draw]  relleno por score 0.20

### removal (8)
1x Swords to Plowshares                       score 0.52  [removal]  removal (cuota), score 0.52
1x Vraska's Fall                              score 0.51  [removal]  removal (cuota), score 0.51
1x Cankerbloom                                score 0.46  [removal]  removal (cuota), score 0.46
1x Counterspell                               score 0.42  [removal]  removal (cuota), score 0.42
1x Path to Exile                              score 0.38  [ramp/removal]  removal (cuota), score 0.38
1x Drown in Ichor                             score 0.36  [removal]  removal (cuota), score 0.36
1x Atomize                                    score 0.30  [removal]  removal (cuota), score 0.30
1x Contagion Clasp                            score 0.23  [removal]  removal (cuota), score 0.23

### board_wipe (5)
1x Phyresis Outbreak                          score 0.43  [board_wipe]  board_wipe (cuota), score 0.43
1x Contagion Engine                           score 0.41  [board_wipe]  board_wipe (cuota), score 0.41
1x Farewell                                   score 0.25  [board_wipe]  board_wipe (cuota), score 0.25
1x White Sun's Twilight                       score 0.23  [board_wipe]  relleno por score 0.23
1x Cyclonic Rift                              score 0.20  [board_wipe/removal]  relleno por score 0.20

### wincons (2)
1x Ichormoon Gauntlet                         score 0.31  [wincons]  wincons (cuota), score 0.31
1x Teferi, Master of Time                     score 0.24  [card_draw/wincons]  wincons (cuota), score 0.24

### synergy (28)
1x Tekuthal, Inquiry Dominus                  score 0.93  [synergy]  relleno por score 0.93
1x Evolution Sage                             score 0.83  [synergy]  relleno por score 0.83
1x Thrummingbird                              score 0.71  [synergy]  relleno por score 0.71
1x Inexorable Tide                            score 0.70  [synergy]  relleno por score 0.70
1x Vorinclex, Monstrous Raider                score 0.58  [synergy]  relleno por score 0.58
1x Flux Channeler                             score 0.57  [synergy]  relleno por score 0.57
1x Bloated Contaminator                       score 0.49  [synergy]  relleno por score 0.49
1x Venerated Rotpriest                        score 0.48  [synergy]  relleno por score 0.48
1x Experimental Augury                        score 0.46  [synergy]  relleno por score 0.46
1x Brokers Ascendancy                         score 0.46  [synergy]  relleno por score 0.46
1x Ichor Rats                                 score 0.46  [synergy]  relleno por score 0.46
1x Doubling Season                            score 0.45  [synergy]  relleno por score 0.45
1x Dreamtide Whale                            score 0.45  [synergy]  relleno por score 0.45
1x Unnatural Restoration                      score 0.45  [synergy]  relleno por score 0.45
1x Deepglow Skate                             score 0.43  [synergy]  relleno por score 0.43
1x Blighted Agent                             score 0.42  [synergy]  relleno por score 0.42
1x Infectious Bite                            score 0.42  [synergy]  relleno por score 0.42
1x Metastatic Evangel                         score 0.41  [synergy]  relleno por score 0.41
1x Skrelv, Defector Mite                      score 0.41  [synergy]  relleno por score 0.41
1x Ixhel, Scion of Atraxa                     score 0.41  [synergy]  relleno por score 0.41
1x Voidwing Hybrid                            score 0.37  [synergy]  relleno por score 0.37
1x Skithiryx, the Blight Dragon               score 0.35  [synergy]  relleno por score 0.35
1x Blightbelly Rat                            score 0.34  [synergy]  relleno por score 0.34
1x Ajani, Sleeper Agent                       score 0.32  [synergy]  relleno por score 0.32
1x Tainted Observer                           score 0.32  [synergy]  relleno por score 0.32
1x Lightning Greaves                          score 0.31  [synergy]  relleno por score 0.31
1x Plague Stinger                             score 0.30  [synergy]  relleno por score 0.30
1x Phyrexian Swarmlord                        score 0.29  [synergy]  relleno por score 0.29

## Maybeboard (15)
1x Indatha Triome                             score 0.44  [card_draw/lands]  fuera por score 0.44
1x Zagoth Triome                              score 0.44  [card_draw/lands]  fuera por score 0.44
1x Spara's Headquarters                       score 0.41  [card_draw/lands]  fuera por score 0.41
1x Raffine's Tower                            score 0.37  [card_draw/lands]  fuera por score 0.37
1x Teferi's Protection                        score 0.28  [synergy]  fuera: cuota llena en synergy
1x Vishgraz, the Doomhive                     score 0.28  [synergy]  fuera: cuota llena en synergy
1x Innkeeper's Talent                         score 0.28  [synergy]  fuera: cuota llena en synergy
1x Heroic Intervention                        score 0.27  [synergy]  fuera: cuota llena en synergy
1x Norn's Choirmaster                         score 0.27  [synergy]  fuera: cuota llena en synergy
1x Oath of Teferi                             score 0.27  [synergy]  fuera: cuota llena en synergy
1x Thirsting Roots                            score 0.27  [synergy]  fuera: cuota llena en synergy
1x Replicating Ring                           score 0.26  [ramp]  fuera: cuota llena en ramp
1x Grateful Apparition                        score 0.26  [synergy]  fuera: cuota llena en synergy
1x Shalai, Voice of Plenty                    score 0.25  [synergy]  fuera: cuota llena en synergy
1x Three Visits                               score 0.25  [ramp]  fuera: cuota llena en ramp
