# Krenko, Mob Boss — selector greedy (prototipo Fase 3)
# Construido en 0.00s | mainboard: 99 cartas

## Resumen de cuotas
categoría      n  banda      estado
lands         35  [33-36]    in_range  (suelo Karsten: 35, objetivo: 35)
ramp          12  [ 7-12]    in_range
card_draw     10  [ 8-11]    in_range
removal       11  [ 6-11]    in_range
board_wipe     1  [ 1- 3]    in_range
wincons        0  [ 0- 4]    in_range
synergy       35  [ 0-35]    in_range

# Nota: una carta multicategoría cuenta en todas sus categorías,
# por eso la suma de conteos puede superar 99.

## Mainboard (99)

### lands (35)
1x Three Tree City                            score 0.75  [lands/ramp]  tierra recomendada, score 0.75
1x Den of the Bugbear                         score 0.61  [lands]  tierra recomendada, score 0.61
1x Cavern of Souls                            score 0.59  [lands]  tierra recomendada, score 0.59
1x Castle Embereth                            score 0.58  [lands]  tierra recomendada, score 0.58
1x Arena of Glory                             score 0.52  [lands]  tierra recomendada, score 0.52
1x Path of Ancestry                           score 0.48  [lands]  tierra recomendada, score 0.48
1x Nykthos, Shrine to Nyx                     score 0.39  [lands/ramp]  tierra recomendada, score 0.39
1x Ancient Tomb                               score 0.28  [lands/ramp]  tierra recomendada, score 0.28
1x War Room                                   score 0.24  [card_draw/lands]  tierra recomendada, score 0.24
1x Goblin Burrows                             score 0.22  [lands]  tierra recomendada, score 0.22
1x Forgotten Cave                             score 0.18  [lands]  tierra recomendada, score 0.18
1x Hall of the Bandit Lord                    score 0.14  [lands]  tierra recomendada, score 0.14
1x Myriad Landscape                           score 0.13  [lands/ramp]  tierra recomendada, score 0.13
1x Command Beacon                             score 0.13  [lands]  tierra recomendada, score 0.13
1x Buried Ruin                                score 0.12  [lands]  tierra recomendada, score 0.12
1x Valakut Awakening // Valakut Stoneforge    score 0.12  [card_draw/lands]  tierra recomendada, score 0.12
1x Great Furnace                              score 0.12  [lands]  tierra recomendada, score 0.12
1x Urza's Saga                                score 0.10  [lands]  tierra recomendada, score 0.10
1x Bloodstained Mire                          score 0.10  [lands]  tierra recomendada, score 0.10
1x Amonkhet Raceway                           score 0.10  [lands]  tierra recomendada, score 0.10
1x Wooded Foothills                           score 0.10  [lands]  tierra recomendada, score 0.10
1x Arid Mesa                                  score 0.09  [lands]  tierra recomendada, score 0.09
1x Reliquary Tower                            score 0.09  [lands]  tierra recomendada, score 0.09
1x Rogue's Passage                            score 0.09  [lands]  tierra recomendada, score 0.09
1x Gemstone Caverns                           score 0.08  [lands]  tierra recomendada, score 0.08
1x Crystal Vein                               score 0.08  [lands]  tierra recomendada, score 0.08
1x Hanweir Battlements                        score 0.08  [lands]  tierra recomendada, score 0.08
1x Scalding Tarn                              score 0.08  [lands]  tierra recomendada, score 0.08
1x Inventors' Fair                            score 0.05  [lands]  tierra recomendada, score 0.05
1x Shinka, the Bloodsoaked Keep               score 0.05  [lands]  tierra recomendada, score 0.05
1x Smoldering Crater                          score 0.05  [lands]  tierra recomendada, score 0.05
4x Mountain                                   score  --   [lands]  básica x4 (proporcional a pips del mazo)

### ramp (7)
1x Skirk Prospector                           score 1.64  [ramp]  ramp (cuota), score 1.64
1x Sol Ring                                   score 1.00  [ramp]  always (rules.yaml)
1x Howlsquad Heavy                            score 0.93  [ramp]  ramp (cuota), score 0.93
1x Ashnod's Altar                             score 0.66  [ramp]  ramp (cuota), score 0.66
