# Niv-Mizzet, Parun — selector greedy (prototipo Fase 3)
# Construido en 0.00s | mainboard: 99 cartas

## Resumen de cuotas
categoría      n  banda      estado
lands         34  [34-37]    in_range  (suelo Karsten: 33, objetivo: 34)
ramp          11  [ 8-11]    in_range
card_draw     14  [10-14]    in_range
removal       12  [ 8-12]    in_range
board_wipe     3  [ 2- 4]    in_range
wincons        2  [ 2- 4]    in_range
synergy       27  [ 0-30]    in_range

# Nota: una carta multicategoría cuenta en todas sus categorías,
# por eso la suma de conteos puede superar 99.

## Mainboard (99)

### lands (34)
1x Command Tower                              score 0.97  [lands]  tierra recomendada, score 0.97
1x Steam Vents                                score 0.90  [lands]  tierra recomendada, score 0.90
1x Sulfur Falls                               score 0.84  [lands]  tierra recomendada, score 0.84
1x Shivan Reef                                score 0.83  [lands]  tierra recomendada, score 0.83
1x Reliquary Tower                            score 0.71  [lands]  tierra recomendada, score 0.71
1x Cascade Bluffs                             score 0.67  [lands]  tierra recomendada, score 0.67
1x Training Center                            score 0.64  [lands]  tierra recomendada, score 0.64
1x Scalding Tarn                              score 0.62  [lands]  tierra recomendada, score 0.62
1x Mystic Sanctuary                           score 0.59  [lands]  tierra recomendada, score 0.59
1x Stormcarved Coast                          score 0.57  [lands]  tierra recomendada, score 0.57
1x Fiery Islet                                score 0.56  [lands]  tierra recomendada, score 0.56
1x Riverglide Pathway // Lavaglide Pathway    score 0.55  [lands]  tierra recomendada, score 0.55
1x Izzet Boilerworks                          score 0.52  [lands]  tierra recomendada, score 0.52
1x Temple of Epiphany                         score 0.49  [lands]  tierra recomendada, score 0.49
1x Frostboil Snarl                            score 0.48  [lands]  tierra recomendada, score 0.48
1x Exotic Orchard                             score 0.35  [lands]  tierra recomendada, score 0.35
1x Thundering Falls                           score 0.35  [lands]  tierra recomendada, score 0.35
1x Spirebluff Canal                           score 0.34  [lands]  tierra recomendada, score 0.34
1x Swiftwater Cliffs                          score 0.29  [lands]  tierra recomendada, score 0.29
1x Ojer Axonil, Deepest Might // Temple of Power score 0.28  [lands]  tierra recomendada, score 0.28
1x Cephalid Coliseum                          score 0.28  [lands]  tierra recomendada, score 0.28
1x Riverpyre Verge                            score 0.27  [lands]  tierra recomendada, score 0.27
1x Ferrous Lake                               score 0.26  [lands]  tierra recomendada, score 0.26
1x Izzet Guildgate                            score 0.25  [lands]  tierra recomendada, score 0.25
1x Mistrise Village                           score 0.25  [lands]  tierra recomendada, score 0.25
1x City of Brass                              score 0.25  [lands]  tierra recomendada, score 0.25
1x Volcanic Island                            score 0.24  [lands]  tierra recomendada, score 0.24
1x Evolving Wilds                             score 0.24  [lands]  tierra recomendada, score 0.24
1x Flooded Strand                             score 0.23  [lands]  tierra recomendada, score 0.23
1x Reflecting Pool                            score 0.23  [lands]  tierra recomendada, score 0.23
1x Hydroelectric Specimen // Hydroelectric Laboratory score 0.21  [lands]  tierra recomendada, score 0.21
1x Mana Confluence                            score 0.21  [lands]  tierra recomendada, score 0.21
1x Polluted Delta                             score 0.20  [lands]  tierra recomendada, score 0.20
1x Fabled Passage                             score 0.20  [lands]  tierra recomendada, score 0.20

### ramp (11)
1x Arcane Signet                              score 0.93  [ramp]  staple (auto-include)
1x Sol Ring                                   score 0.89  [ramp]  staple (auto-include)
1x Izzet Signet                               score 0.85  [ramp]  ramp (cuota), score 0.85
1x Talisman of Creativity                     score 0.79  [ramp]  ramp (cuota), score 0.79
1x Storm-Kiln Artist                          score 0.67  [ramp]  ramp (cuota), score 0.67
1x Baral, Chief of Compliance                 score 0.59  [ramp]  ramp (cuota), score 0.59
1x Goblin Electromancer                       score 0.55  [ramp]  ramp (cuota), score 0.55
1x Fellwar Stone                              score 0.49  [ramp]  ramp (cuota), score 0.49
1x Vivi Ornitier                              score 0.48  [ramp]  relleno por score 0.48
1x Commander's Sphere                         score 0.42  [ramp]  relleno por score 0.42
1x Decanter of Endless Water                  score 0.40  [ramp]  relleno por score 0.40

### card_draw (12)
1x Curiosity                                  score 1.46  [card_draw]  card_draw (cuota), score 1.46
1x Brainstorm                                 score 1.20  [card_draw]  card_draw (cuota), score 1.20
1x Ophidian Eye                               score 1.19  [card_draw]  card_draw (cuota), score 1.19
1x Tandem Lookout                             score 1.00  [card_draw]  card_draw (cuota), score 1.00
1x Niv-Mizzet, Visionary                      score 0.85  [card_draw]  card_draw (cuota), score 0.85
1x Windfall                                   score 0.81  [card_draw]  card_draw (cuota), score 0.81
1x Archmage Emeritus                          score 0.56  [card_draw]  card_draw (cuota), score 0.56
1x Teferi's Ageless Insight                   score 0.46  [card_draw]  card_draw (cuota), score 0.46
1x Treasure Cruise                            score 0.34  [card_draw]  relleno por score 0.34
1x The Locust God                             score 0.34  [card_draw]  relleno por score 0.34
