# Sythis, Harvest's Hand — selector CP-SAT (prototipo Fase 3)
# Construido en 0.02s | mainboard: 99 cartas
# Solver: status OPTIMAL, 0.01s de resolución, etapa de relajación: none
# Objetivo: 78.9316 (score bruto 79.0954, penalizaciones escaladas 163796)
# Fixing color (fuentes/objetivo): G: 21/35 (déficit 14), W: 22/29 (déficit 7)

## Resumen de cuotas
categoría      n  banda      estado
lands         34  [34-37]    in_range  (suelo Karsten: 32, mínimo efectivo: 34)
ramp          13  [ 8-13]    in_range
card_draw     10  [10-14]    in_range
removal       13  [ 8-13]    in_range
board_wipe     2  [ 2- 4]    in_range
wincons        1  [ 1- 3]    in_range
synergy       30  [ 0-32]    in_range

# Nota: una carta multicategoría cuenta en todas sus categorías,
# por eso la suma de conteos puede superar 99.

## Mainboard (99)

### lands (34)
1x Hall of Heliod's Generosity                score 1.45  [lands]  cp-sat, score 1.45
1x Temple Garden                              score 1.18  [lands]  cp-sat, score 1.18
1x Windswept Heath                            score 1.02  [lands]  cp-sat, score 1.02
1x Command Tower                              score 1.01  [lands]  cp-sat, score 1.01
1x Serra's Sanctum                            score 0.94  [lands/ramp]  cp-sat, score 0.94
1x Reliquary Tower                            score 0.93  [lands]  cp-sat, score 0.93
1x Bountiful Promenade                        score 0.88  [lands]  cp-sat, score 0.88
1x Brushland                                  score 0.85  [lands]  cp-sat, score 0.85
1x Sunpetal Grove                             score 0.72  [lands]  cp-sat, score 0.72
1x Yavimaya, Cradle of Growth                 score 0.70  [lands]  cp-sat, score 0.70
1x Horizon Canopy                             score 0.68  [lands]  cp-sat, score 0.68
1x Boseiju, Who Endures                       score 0.68  [lands/removal]  cp-sat, score 0.68
1x Branchloft Pathway // Boulderloft Pathway  score 0.64  [lands]  cp-sat, score 0.64
1x Canopy Vista                               score 0.63  [lands]  cp-sat, score 0.63
1x Strength of the Harvest // Haven of the Harvest score 0.63  [lands]  cp-sat, score 0.63
1x Overgrown Farmland                         score 0.55  [lands]  cp-sat, score 0.55
1x Nykthos, Shrine to Nyx                     score 0.53  [lands/ramp]  cp-sat, score 0.53
1x Savannah                                   score 0.53  [lands]  cp-sat, score 0.53
1x Hushwood Verge                             score 0.49  [lands]  cp-sat, score 0.49
1x Wooded Bastion                             score 0.42  [lands]  cp-sat, score 0.42
1x Wooded Foothills                           score 0.40  [lands]  cp-sat, score 0.40
1x Flooded Strand                             score 0.38  [lands]  cp-sat, score 0.38
1x Fortified Village                          score 0.38  [lands]  cp-sat, score 0.38
1x Lush Portico                               score 0.37  [lands]  cp-sat, score 0.37
1x Marsh Flats                                score 0.36  [lands]  cp-sat, score 0.36
1x Verdant Catacombs                          score 0.36  [lands]  cp-sat, score 0.36
1x Misty Rainforest                           score 0.36  [lands]  cp-sat, score 0.36
1x Eiganjo, Seat of the Empire                score 0.35  [lands/removal]  cp-sat, score 0.35
1x Arid Mesa                                  score 0.34  [lands]  cp-sat, score 0.34
1x Valgavoth's Lair                           score 0.33  [lands]  cp-sat, score 0.33
1x Razorverge Thicket                         score 0.32  [lands]  cp-sat, score 0.32
1x Sungrass Prairie                           score 0.30  [lands]  cp-sat, score 0.30
1x Prismatic Vista                            score 0.27  [lands]  cp-sat, score 0.27
1x Temple of Plenty                           score 0.24  [lands]  cp-sat, score 0.24

### ramp (11)
1x Sanctum Weaver                             score 1.80  [ramp]  cp-sat, score 1.80
1x Utopia Sprawl                              score 1.43  [ramp]  cp-sat, score 1.43
1x Wild Growth                                score 1.41  [ramp]  cp-sat, score 1.41
1x Jukai Naturalist                           score 1.35  [ramp]  cp-sat, score 1.35
1x Exploration                                score 1.21  [ramp]  cp-sat, score 1.21
1x Fertile Ground                             score 1.18  [ramp]  cp-sat, score 1.18
1x Dryad of the Ilysian Grove                 score 0.96  [ramp]  cp-sat, score 0.96
1x Burgeoning                                 score 0.79  [ramp]  cp-sat, score 0.79
1x Carpet of Flowers                          score 0.75  [ramp]  cp-sat, score 0.75
1x Sol Ring                                   score 0.56  [ramp]  always (rules.yaml)
1x Arcane Signet                              score 0.25  [ramp]  always (rules.yaml)

### card_draw (10)
1x Enchantress's Presence                     score 1.73  [card_draw]  cp-sat, score 1.73
1x Setessan Champion                          score 1.38  [card_draw]  cp-sat, score 1.38
1x Eidolon of Blossoms                        score 1.29  [card_draw]  cp-sat, score 1.29
1x Mesa Enchantress                           score 1.21  [card_draw]  cp-sat, score 1.21
1x Argothian Enchantress                      score 1.19  [card_draw]  cp-sat, score 1.19
